级别,日期和时间,来源,事件 ID,任务类别
信息,2015/6/10 14:41:13,Service Control Manager,7036,无,System Event Notification Service 服务处于 正在运行 状态。
信息,2015/6/10 14:41:13,Service Control Manager,7036,无,TCP/IP NetBIOS Helper 服务处于 正在运行 状态。
信息,2015/6/10 14:41:13,Service Control Manager,7036,无,Network Store Interface Service 服务处于 正在运行 状态。
信息,2015/6/10 14:41:14,Service Control Manager,7036,无,Security Accounts Manager 服务处于 正在运行 状态。
信息,2015/6/10 14:41:14,Service Control Manager,7036,无,Workstation 服务处于 正在运行 状态。
信息,2015/6/10 14:41:14,Service Control Manager,7036,无,IKE and AuthIP IPsec Keying Modules 服务处于 正在运行 状态。
信息,2015/6/10 14:41:14,Service Control Manager,7036,无,Print Spooler 服务处于 正在运行 状态。
信息,2015/6/10 14:41:14,Service Control Manager,7036,无,Task Scheduler 服务处于 正在运行 状态。
信息,2015/6/10 14:41:13,Service Control Manager,7036,无,Shell Hardware Detection 服务处于 正在运行 状态。
信息,2015/6/10 14:41:14,Service Control Manager,7036,无,Windows Firewall 服务处于 正在运行 状态。
信息,2015/6/10 14:41:14,Service Control Manager,7036,无,Base Filtering Engine 服务处于 正在运行 状态。
信息,2015/7/3 12:00:01,EventLog,6013,无,系统启动时间为 1977553 秒。
信息,2015/7/29 17:37:15,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/29 17:35:15,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/7/29 17:50:37,Service Control Manager,7036,无,Application Experience 服务处于 停止 状态。
信息,2015/7/29 17:40:37,Service Control Manager,7036,无,Application Experience 服务处于 正在运行 状态。
信息,2015/7/27 12:00:01,EventLog,6013,无,系统启动时间为 4051152 秒。
信息,2015/7/26 12:00:00,EventLog,6013,无,系统启动时间为 3964752 秒。
信息,2015/7/29 12:00:01,EventLog,6013,无,系统启动时间为 4223952 秒。
信息,2015/7/28 12:00:01,EventLog,6013,无,系统启动时间为 4137552 秒。
信息,2015/8/3 12:00:01,EventLog,6013,无,系统启动时间为 4655953 秒。
信息,2015/8/2 12:00:00,EventLog,6013,无,系统启动时间为 4569552 秒。
信息,2015/8/5 11:21:38,Microsoft-Windows-FilterManager,1,无,文件系统筛选器“FileInfo”(版本 6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功卸载。
信息,2015/8/4 12:00:01,EventLog,6013,无,系统启动时间为 4742352 秒。
信息,2015/7/30 12:00:00,EventLog,6013,无,系统启动时间为 4310352 秒。
信息,2015/7/29 17:53:35,Microsoft-Windows-FilterManager,6,无,文件系统筛选器“FileInfo”(6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功加载并注册到筛选器管理器。
信息,2015/8/1 12:00:01,EventLog,6013,无,系统启动时间为 4483152 秒。
信息,2015/7/31 12:00:01,EventLog,6013,无,系统启动时间为 4396752 秒。
信息,2015/7/24 12:00:45,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/24 12:00:01,EventLog,6013,无,系统启动时间为 3791952 秒。
信息,2015/7/24 12:08:49,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/24 12:05:17,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/7/24 11:43:56,Service Control Manager,7036,无,Application Experience 服务处于 正在运行 状态。
信息,2015/7/24 11:43:55,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/7/24 11:58:17,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/7/24 11:56:12,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/24 13:01:12,Service Control Manager,7036,无,Application Experience 服务处于 停止 状态。
信息,2015/7/24 12:53:12,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
信息,2015/7/25 12:00:01,EventLog,6013,无,系统启动时间为 3878352 秒。
信息,2015/7/24 22:21:11,Service Control Manager,7036,无,Application Management 服务处于 正在运行 状态。
信息,2015/7/24 12:42:45,Microsoft-Windows-Eventlog,104,日志清除,Application 日志文件已被清除。
信息,2015/7/24 12:16:49,Service Control Manager,7036,无,Application Experience 服务处于 停止 状态。
信息,2015/7/24 12:50:59,Service Control Manager,7036,无,Application Experience 服务处于 正在运行 状态。
信息,2015/7/24 12:50:57,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/8/5 11:22:07,Service Control Manager,7036,无,Attunity Replicate Console 服务处于 停止 状态。
信息,2015/8/19 12:00:01,EventLog,6013,无,系统启动时间为 6038352 秒。
信息,2015/8/18 12:00:01,EventLog,6013,无,系统启动时间为 5951952 秒。
信息,2015/8/19 16:16:22,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 正在运行 状态。
信息,2015/8/19 16:16:14,Service Control Manager,7036,无,Attunity Replicate Console 服务处于 停止 状态。
信息,2015/8/15 12:00:01,EventLog,6013,无,系统启动时间为 5692752 秒。
信息,2015/8/14 12:00:00,EventLog,6013,无,系统启动时间为 5606352 秒。
信息,2015/8/17 12:00:00,EventLog,6013,无,系统启动时间为 5865552 秒。
信息,2015/8/16 12:00:01,EventLog,6013,无,系统启动时间为 5779152 秒。
信息,2015/8/21 12:00:00,EventLog,6013,无,系统启动时间为 6211152 秒。
信息,2015/8/20 12:00:01,EventLog,6013,无,系统启动时间为 6124752 秒。
信息,2015/8/21 16:35:02,Service Control Manager,7036,无,Windows Error Reporting Service 服务处于 停止 状态。
