级别,日期和时间,来源,事件 ID,任务类别
信息,2017/2/7 16:58:25,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/7 16:58:25,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/7 16:58:25,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/6 16:56:00,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/6 16:56:00,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/6 16:56:00,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/6 16:56:00,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/5 16:52:35,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/5 16:52:35,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/5 16:52:34,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/5 16:52:34,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/4 16:49:08,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/4 16:49:08,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/4 16:49:07,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/4 16:49:07,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/2/3 16:45:43,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/2/3 16:45:43,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
